Name,Reign(total),Defenses,ex_champ
Mark Coleman,170,0,True
Maurice Smith,147,1,True
Randy Couture,0,0,True
Bas Rutten,0,0,True
Kevin Randleman,364,1,True
Randy Couture,490,1,True
Josh Barnett,126,0,True
Ricco Rodriguez,154,0,True
Tim Sylvia,229,1,True
Frank Mir,419,0,True
Andrei Arlovski,0,1,True
Andrei Arlovski,246,1,True
Tim Sylvia,322,1,True
Randy Couture,623,1,True
Antônio Rodrigo Nogueira,0,0,True
Brock Lesnar,707,1,True
Frank Mir,0,0,True
Shane Carwin,0,0,True
Cain Velasquez,385,0,True
Junior dos Santos,413,1,True
Cain Velasquez,896,1,True
Fabrício Werdum,0,0,True
Fabrício Werdum,336,0,True
Stipe Miocic,785,1,True
Daniel Cormier,303,1,True
Frank Shamrock,703,1,True
Tito Ortiz,"1,260",1,True
Randy Couture,0,0,True
Randy Couture,127,0,True
Vitor Belfort,203,0,True
Randy Couture,238,0,True
Chuck Liddell,770,1,True
Quinton Jackson,406,1,True
Forrest Griffin,175,0,True
Rashad Evans,147,0,True
Lyoto Machida,350,1,True
Maurício Rua,315,0,True
Jon Jones,"1,501",1,True
Daniel Cormier,"1,315",1,True
Jon Jones,0,0,True
Jon Jones,128,1,True
Dave Menne,105,0,True
Murilo Bustamante,267,1,True
Evan Tanner,119,0,True
Rich Franklin,497,1,True
Anderson Silva,"2,457",1,True
Chris Weidman,888,1,True
Luke Rockhold,175,0,True
Michael Bisping,518,1,True
Robert Whittaker,0,0,True
Georges St-Pierre,33,0,True
Robert Whittaker,515,0,True
Israel Adesanya,23,0,True
Pat Miletich,931,1,True
Carlos Newton,183,0,True
Matt Hughes,820,1,True
B.J. Penn,107,0,True
Matt Hughes,757,1,True
Georges St-Pierre,140,0,True
Matt Serra,378,0,True
Georges St-Pierre,0,0,True
Georges St-Pierre,"2,064",1,True
Carlos Condit,0,0,True
Johny Hendricks,266,0,True
Robbie Lawler,602,1,True
Tyron Woodley,945,1,True
Colby Covington,0,0,True
Kamaru Usman,65,0,True
Jens Pulver,393,1,True
Sean Sherk,420,1,True
B.J. Penn,812,1,True
Frankie Edgar,687,1,True
Benson Henderson,552,1,True
Anthony Pettis,560,1,True
Rafael dos Anjos,481,1,True
Eddie Alvarez,128,0,True
Conor McGregor,511,0,True
Tony Ferguson,0,0,True
Khabib Nurmagomedov,394,1,True
Dustin Poirier,23,0,True
José Aldo,"1,848",1,True
Conor McGregor,0,0,True
Conor McGregor,350,0,True
José Aldo,0,0,True
José Aldo,189,0,True
Max Holloway,0,0,True
Max Holloway,702,1,True
Dominick Cruz,"1,117",1,True
Renan Barão,0,1,True
Renan Barão,138,1,True
T.J. Dillashaw,603,1,True
Dominick Cruz,348,1,True
Cody Garbrandt,309,0,True
T.J. Dillashaw,501,1,True
Demetrious Johnson,"2,142",1,True
Henry Cejudo,275,1,True
Germaine de Randamie,128,0,True
Cris Cyborg,517,1,True
Amanda Nunes,128,0,True
Ronda Rousey,"1,074",1,True
Holly Holm,111,0,True
Miesha Tate,126,0,True
Amanda Nunes,1031,1,True
Nicco Montaño,280,0,True
Valentina Shevchenko,149,0,True
