Name,Rank
Henry Cejudo,0
Jussier Formiga,1
Joseph Benavidez,2
Deiveson Figueiredo ,3
Wilson Reis,4
Alexandre Pantoja ,5
Tim Elliott ,6
Rogerio Bontorin,7
Magomed Bibulatov ,8
Ryan Benoit ,9
Jordan Espinosa ,10
Kai Kara-France,11
Eric Shelton,12
Louis Smolka ,13
Raulian Paiva,14
Jaime Alvarez ,15
,0
Marlon Moraes,1
Raphael Assunção,2
Aljamain Sterling,3
Pedro Munhoz,4
Dominick Cruz,5
Cody Garbrandt,6
Jimmie Rivera,7
John Lineker,8
Petr Yan,9
Cody Stamann,10
Rob Font,11
John Dodson,12
Alejandro Perez,13
Thomas Almeida,14
Ricky Simon,15
Max Holloway,0
José Aldo,1
Brian Ortega,2
Frankie Edgar,3
Alexander Volkanovski,4
Renato Moicano,5
Zabit Magomedsharipov,6
Jeremy Stephens,7
Josh Emmett ,8
Mirsad Bektic,9
Cub Swanson ,10
Ricardo Lamas,11
Yair Rodriguez,12
Chan Sung Jung,13
Darren Elkins,14
Calvin Kattar,15
Khabib Nurmagomedov,0
Tony Ferguson,1
Conor McGregor,2
Dustin Poirier,3
Al Iaquinta,4
Justin Gaethje,5
Kevin Lee,6
Donald Cerrone,7
Edson Barboza ,8
Paul Felder,9
Gregor Gillespie,10
Alexander Hernandez,11
Charles Oliveira,12
James Vick,13
Nate Diaz,14
Francisco Trinaldo,15
Kamaru Usman,0
Tyron Woodley,1
Colby Covington,2
Rafael Dos Anjos,3
Jorge Masvidal,4
Ben Askren,5
Darren Till,6
Stephen Thompson,7
Anthony Pettis,8
Santiago Ponzinibbio,9
Robbie Lawler,10
Leon Edwards,11
Demian Maia,12
Neil Magny,13
Elizeu Zaleski dos Santos,14
Vicente Luque,15
Robert Whittaker,0
Yoel Romero,1
Luke Rockhold,2
Jacare Souza,3
Kelvin Gastelum,4
Israel Adesanya,5
Chris Weidman,6
Paulo Costa,7
Derek Brunson,8
Jared Cannonier,9
Jack Hermansson ,10
Brad Tavares ,11
Antônio Carlos Júnior,12
Uriah Hall,13
Elias Theodorou,14
Anderson Silva,15
Jon Jones,0
,
Alexander Gustafsson,2
Thiago Santos,3
Anthony Smith,4
Dominick Reyes,5
Jan Blachowicz,6
Volkan Oezdemir,7
Corey Anderson,8
Ilir Latifi,9
Jimi Manuwa,10
Glover Teixeira,11
Ovince Saint Preux,12
Johnny Walker,13
Mauricio Rua,14
Misha Cirkunov,15
Daniel Cormier,0
Stipe Miocic,1
Francis Ngannou,2
Junior dos Santos,3
Curtis Blaydes,4
Derrick Lewis,5
Alexander Volkov,6
Alistair Overeem,7
Cain Velasquez,8
Oleksiy Oliynyk,9
Marcin Tybura,10
Justin Willis,11
Tai Tuivasa,12
Shamil Abdurakhimov,13
Blagoy Ivanov,14
Andrei Arlovski,15
Rose Namajunas,0
Jessica Andrade,1
Joanna Jedrzejczyk,2
Tatiana Suarez,3
Nina Ansaroff ,4
Claudia Gadelha,5
Weili Zhang,6
Michelle Waterson ,7
Tecia Torres,8
Karolina Kowalkiewicz ,9
Carla Esparza,10
Cynthia Calvillo,11
Felice Herrig,12
Randa Markos,13
Alexa Grasso,14
Cortney Casey ,15
Valentina Shevchenko,0
Jessica Eye,1
Sijara Eubanks,2
Katlyn Chookagian,3
Joanna Jedrzejczyk,4
Liz Carmouche ,5
Joanne Calderwood,6
Alexis Davis,7
Roxanne Modafferi,8
 Lauren Murphy,9
Jennifer Maia ,10
Jessica-Rose Clark,11
Andrea Lee,12
Montana De La Rosa,13
Mara Romero Borella,14
Antonina Shevchenko,15
Amanda Nunes,0
Germaine de Randamie,1
Holly Holm,2
Ketlen Vieira,3
Raquel Pennington,4
Cat Zingano,5
Aspen Ladd,6
Yana Kunitskaya,7
Marion Reneau,8
Sara McMann,9
Irene Aldana,10
Tonya Evinger,11
Bethe Correia,12
Lina Lansberg,13
Macy Chiasson,14
Talita Bernardo,15
